,y,y_hat
2016-02-28,121.0,132.32278689759883
2016-02-29,151.0,136.98487153852255
2016-03-01,167.0,134.06485218920318
2016-03-02,138.0,141.3923049432843
2016-03-03,139.0,142.3865013801039
2016-03-04,144.0,142.84173446959934
2016-03-05,162.0,138.6025840503191
2016-03-06,141.0,134.90233572791274
2016-03-07,165.0,142.51717027764366
2016-03-08,158.0,146.06385942454628
2016-03-09,124.0,144.99510859504653
2016-03-10,149.0,144.92602072285882
2016-03-11,163.0,144.3131787078907
2016-03-12,164.0,142.72780888102142
2016-03-13,135.0,142.7128465853459
2016-03-14,140.0,145.66124770422138
2016-03-15,156.0,144.79649558409037
2016-03-16,142.0,142.15692389275108
2016-03-17,169.0,145.37408807684253
2016-03-18,158.0,147.77188135493162
2016-03-19,146.0,142.98959076041768
2016-03-20,134.0,141.34126798147935
2016-03-21,126.0,148.05744221200857
2016-03-22,147.0,146.74589561393853
2016-03-23,154.0,137.4018719568086
2016-03-24,130.0,144.00323461409792
2016-03-25,167.0,145.4747492447099
2016-03-26,148.0,138.8418380872318
2016-03-27,125.0,136.61089541006336
2016-03-28,149.0,144.04892362465606
2016-03-29,150.0,143.22460225022178
2016-03-30,179.0,147.3531203663429
2016-03-31,164.0,145.76689452235374
2016-04-01,178.0,150.51142429539675
2016-04-02,145.0,143.6264208832189
2016-04-03,168.0,140.00069998073994
2016-04-04,152.0,150.11143828847267
2016-04-05,147.0,150.9587247301116
2016-04-06,148.0,156.23853390651166
2016-04-07,149.0,151.43724399078263
2016-04-08,150.0,159.02103312061396
2016-04-09,160.0,149.45710011607554
2016-04-10,144.0,144.6413589668142
2016-04-11,135.0,151.37835874346555
2016-04-12,155.0,152.8799036354509
2016-04-13,122.0,149.63803540136252
2016-04-14,150.0,147.85255338313715
2016-04-15,197.0,148.46637606721106
2016-04-16,154.0,148.22631976986898
2016-04-17,138.0,147.41483479629034
2016-04-18,167.0,150.53632879509104
2016-04-19,170.0,148.47309818896954
2016-04-20,149.0,146.59458385452334
2016-04-21,153.0,150.8043534285277
2016-04-22,164.0,159.16819445225957
2016-04-23,134.0,151.72455564013185
2016-04-24,151.0,142.4144343923735
2016-04-25,160.0,148.53810356228288
2016-04-26,138.0,149.63280877184548
2016-04-27,132.0,149.8139408380703
2016-04-28,156.0,145.70412388576088
2016-04-29,157.0,157.52391272809362
2016-04-30,143.0,142.7409460091107
2016-05-01,161.0,149.26535143340567
2016-05-02,173.0,149.85091999340278
2016-05-03,155.0,147.87038922261343
2016-05-04,121.0,152.6531813081162
2016-05-05,175.0,155.4491392287332
2016-05-06,177.0,155.25993728296743
2016-05-07,167.0,147.4094400296243
2016-05-08,123.0,152.07171855990694
2016-05-09,146.0,155.78693743023578
2016-05-10,134.0,151.3294729028166
2016-05-11,174.0,148.94668899389873
2016-05-12,160.0,155.1503506773297
2016-05-13,185.0,160.8848661582184
2016-05-14,161.0,152.94777996873106
2016-05-15,157.0,147.9352837416887
2016-05-16,163.0,153.54049754696905
2016-05-17,143.0,152.26350463866208
2016-05-18,175.0,151.86212524702822
2016-05-19,156.0,157.96421898629407
2016-05-20,168.0,170.83617460124032
2016-05-21,165.0,155.53856162818334
2016-05-22,171.0,149.05288466601047
2016-05-23,174.0,152.44202690950115
2016-05-24,167.0,151.79147847344166
2016-05-25,149.0,155.4558695205695
2016-05-26,170.0,159.30686846368877
2016-05-27,184.0,165.27332962065196
2016-05-28,188.0,158.8071955468901
2016-05-29,141.0,152.83607892839697
2016-05-30,168.0,161.98254428742493
2016-05-31,153.0,157.1009051330758
2016-06-01,178.0,155.59972296486768
2016-06-02,178.0,158.9845515402809
2016-06-03,176.0,173.6740872366939
2016-06-04,162.0,159.79975476449732
2016-06-05,167.0,152.73727920721956
2016-06-06,168.0,163.4624282967052
2016-06-07,148.0,156.4856936907704
2016-06-08,174.0,162.2294266550755
2016-06-09,146.0,160.9297237567468
2016-06-10,192.0,173.2094843758498
2016-06-11,194.0,159.81246121650773
2016-06-12,191.0,158.34308470840185
2016-06-13,175.0,166.77935122571435
2016-06-14,170.0,162.4635783478665
2016-06-15,168.0,164.95710171849123
2016-06-16,193.0,161.90614415561006
2016-06-17,182.0,173.9413165568365
2016-06-18,184.0,168.95240090708845
2016-06-19,171.0,159.33360974633763
2016-06-20,170.0,166.20446405231414
2016-06-21,188.0,167.19394008769137
2016-06-22,160.0,169.00075406743022
2016-06-23,182.0,166.44720486741318
2016-06-24,194.0,177.12085251975643
2016-06-25,190.0,169.09620969364497
2016-06-26,166.0,165.88894626102405
2016-06-27,167.0,164.9022275807219
2016-06-28,183.0,166.7769511478713
2016-06-29,180.0,168.21068396890658
2016-06-30,204.0,170.0688801013088
2016-07-01,181.0,178.60134122368427
2016-07-02,152.0,181.27373289743682
2016-07-03,163.0,167.72096942251392
2016-07-04,142.0,168.89625424324848
2016-07-05,167.0,172.67555615174257
2016-07-06,172.0,169.96151597116898
2016-07-07,193.0,171.27005298355036
2016-07-08,199.0,174.74657390156312
2016-07-09,174.0,169.27943661869867
2016-07-10,163.0,187.13607151399316
2016-07-11,155.0,174.42301538925588
2016-07-12,184.0,171.79078625119675
2016-07-13,170.0,172.03721624060782
2016-07-14,182.0,179.45988104026597
2016-07-15,225.0,179.06553899433118
2016-07-16,179.0,172.33212630862755
2016-07-17,133.0,171.31080874070418
2016-07-18,192.0,173.25799638910632
2016-07-19,193.0,171.8698281085235
2016-07-20,192.0,168.54487542530936
2016-07-21,196.0,186.7819756084943
2016-07-22,181.0,201.62485071058998
2016-07-23,197.0,178.16741577658516
2016-07-24,180.0,161.28702923789086
2016-07-25,198.0,175.58344447653494
2016-07-26,228.0,180.19924298452887
2016-07-27,195.0,176.77699218783656
2016-07-28,167.0,185.1483930818846
2016-07-29,203.0,188.83154826868716
2016-07-30,238.0,185.34160467780876
2016-07-31,237.0,174.46570220453765
2016-08-01,199.0,184.79215697086087
2016-08-02,186.0,180.86539469861063
2016-08-03,185.0,174.20856909304018
2016-08-04,165.0,178.6673379186601
2016-08-05,203.0,188.1293808986631
2016-08-06,190.0,193.76046141253926
2016-08-07,194.0,181.4262887700213
2016-08-08,195.0,188.4798646255484
2016-08-09,152.0,187.48378147900843
2016-08-10,169.0,182.7064692469869
2016-08-11,188.0,177.33900147543844
2016-08-12,205.0,189.0263857110212
2016-08-13,192.0,186.17445024372844
2016-08-14,190.0,185.7094833569597
2016-08-15,199.0,183.92140560269596
2016-08-16,211.0,183.92274810354343
2016-08-17,213.0,186.98408824887935
2016-08-18,198.0,183.21154863911534
2016-08-19,189.0,197.24064816325617
2016-08-20,210.0,188.5792753431228
2016-08-21,170.0,188.06586870880358
2016-08-22,183.0,183.37152863042652
2016-08-23,169.0,187.01644367654663
2016-08-24,195.0,185.68181659147618
2016-08-25,189.0,188.33820726463767
2016-08-26,194.0,189.28921499706806
2016-08-27,207.0,184.73860692897853
2016-08-28,186.0,182.57796913913717
2016-08-29,205.0,183.644818524994
2016-08-30,187.0,183.5970578688957
2016-08-31,213.0,190.29820065898969
2016-09-01,228.0,193.87323555374493
2016-09-02,196.0,190.51700918553018
2016-09-03,184.0,193.22717095255825
2016-09-04,177.0,180.59885012445764
2016-09-05,178.0,189.66819191308073
2016-09-06,181.0,187.6846429481659
2016-09-07,173.0,188.33840163654503
2016-09-08,204.0,181.97948600525123
2016-09-09,185.0,179.5893307865793
2016-09-10,177.0,185.19140834421506
2016-09-11,187.0,177.3014191955244
2016-09-12,183.0,186.78774411836892
2016-09-13,187.0,183.5352239414779
2016-09-14,215.0,186.99104067462198
2016-09-15,217.0,199.95916498601215
2016-09-16,173.0,188.91432239158405
2016-09-17,187.0,190.52231923235146
2016-09-18,178.0,180.75005154338956
2016-09-19,189.0,184.28806078477848
2016-09-20,208.0,180.03602775856442
2016-09-21,176.0,192.5314639507708
2016-09-22,215.0,191.16176387124221
2016-09-23,205.0,181.609498495814
2016-09-24,163.0,186.18255203166098
2016-09-25,197.0,181.16503480079484
2016-09-26,203.0,182.6509143655146
2016-09-27,185.0,185.83318008723197
2016-09-28,175.0,190.5834261459687
2016-09-29,169.0,195.8171436694613
2016-09-30,180.0,188.15003809420006
2016-10-01,213.0,175.1433221197887
2016-10-02,162.0,180.97863718377783
2016-10-03,201.0,187.57778588028896
2016-10-04,156.0,184.70241368020203
2016-10-05,191.0,180.98414563687476
2016-10-06,180.0,180.192505138459
2016-10-07,197.0,188.67628199898263
2016-10-08,153.0,185.9912533868923
2016-10-09,151.0,178.35058430323824
2016-10-10,192.0,182.97752966111236
2016-10-11,173.0,176.6879634194935
2016-10-12,194.0,175.26859455058354
2016-10-13,174.0,181.87732321198692
2016-10-14,210.0,183.94415407203147
2016-10-15,191.0,177.96544240777533
2016-10-16,178.0,164.94364624980938
2016-10-17,191.0,185.0806609958998
2016-10-18,192.0,180.38917663511856
2016-10-19,155.0,187.8300457803652
2016-10-20,165.0,184.0421485968008
2016-10-21,193.0,185.31787758316153
2016-10-22,183.0,176.41850026804914
2016-10-23,174.0,174.34769432889394
2016-10-24,202.0,181.06732750868616
2016-10-25,189.0,176.3004337922602
2016-10-26,181.0,172.8065913728283
2016-10-27,206.0,173.56726638697143
2016-10-28,224.0,185.72452288974412
2016-10-29,147.0,181.1172452870318
2016-10-30,167.0,173.49467674702933
2016-10-31,188.0,186.7405790214718
2016-11-01,181.0,180.54750615470377
2016-11-02,198.0,177.39271974177632
2016-11-03,161.0,183.2637468718534
2016-11-04,196.0,193.86803216391
2016-11-05,201.0,175.0544014206529
2016-11-06,165.0,171.61818716881228
2016-11-07,174.0,184.66753119676156
2016-11-08,137.0,179.19569084060538
2016-11-09,192.0,170.7584394623394
2016-11-10,181.0,172.11745449915296
2016-11-11,191.0,185.96543006244366
2016-11-12,178.0,173.25513014881707
2016-11-13,149.0,162.8723814399163
2016-11-14,163.0,182.16942691223466
2016-11-15,154.0,159.98378590650327
2016-11-17,201.0,164.75962097059573
2016-11-18,190.0,180.31022525214667
2016-11-19,171.0,163.87629032017963
2016-11-20,143.0,156.4933057490133
2016-11-21,187.0,173.76343643645873
2016-11-22,178.0,156.07005618211625
2016-11-23,172.0,183.6846989251841
2016-11-24,98.0,173.54198759188625
2016-11-25,184.0,181.6950939056149
2016-11-26,185.0,156.59660720475375
2016-11-27,151.0,149.1182839985947
2016-11-28,195.0,167.51009104657345
2016-11-29,174.0,156.3970743772428
2016-11-30,181.0,174.32342380390497
2016-12-01,198.0,197.2706617032723
2016-12-02,203.0,179.5707941221837
2016-12-03,195.0,171.83995186795238
2016-12-04,143.0,157.58979677342074
2016-12-05,156.0,182.84672689520005
2016-12-06,171.0,173.2163764337915
2016-12-07,160.0,177.83790755624867
2016-12-08,169.0,175.37002124177528
2016-12-09,149.0,182.3205602257253
2016-12-10,143.0,171.06174330103124
2016-12-11,119.0,156.15138122434547
2016-12-12,137.0,165.394441343231
2016-12-13,140.0,159.42354191104357
2016-12-14,165.0,165.17677135741792
2016-12-15,145.0,155.78827957223544
2016-12-16,172.0,163.1142645479384
2016-12-17,176.0,153.46742742011824
2016-12-18,96.0,142.60470704671323
2016-12-19,145.0,157.63084116066216
2016-12-20,188.0,153.1620954141645
2016-12-21,181.0,157.0439774571127
2016-12-22,176.0,142.85750227672756
2016-12-23,186.0,154.94590119852478
2016-12-24,147.0,156.2208016850487
2016-12-25,77.0,146.93078570717412
2016-12-26,155.0,149.79741981983184
2016-12-27,148.0,153.94064756174046
2016-12-28,171.0,151.49755399282847
2016-12-29,139.0,148.4235783610224
2016-12-30,167.0,158.10792706891627
2016-12-31,153.0,147.80407226340375
2017-01-01,179.0,149.93638756821474
2017-01-02,120.0,143.32804422075006
2017-01-03,147.0,152.1373711895539
2017-01-04,158.0,154.09911627341677
2017-01-05,131.0,156.09760887040696
2017-01-06,120.0,161.83551967764694
2017-01-07,120.0,146.90625897631529
2017-01-08,104.0,144.27765852401464
2017-01-09,156.0,134.10243150249096
2017-01-10,151.0,135.420087842032
2017-01-11,146.0,150.53368957984702
2017-01-12,150.0,141.3962450211406
2017-01-13,188.0,154.72996412622047
2017-01-14,133.0,140.56022066580275
2017-01-15,145.0,140.22195399613196
2017-01-16,162.0,146.4051852482149
2017-01-17,184.0,148.62390474994731
2017-01-18,166.0,153.15875447037715
2017-01-19,168.0,155.34996395944498
2017-01-20,184.0,165.66600610125045
2017-01-21,191.0,150.61847219224603
2017-01-22,168.0,147.5584547366091
2017-01-23,196.0,157.9403959296831
2017-01-24,180.0,157.063904834464
2017-01-25,187.0,161.3687377358761
2017-01-26,168.0,162.51125944005128
2017-01-27,175.0,172.21968581363402
2017-01-28,168.0,163.0142916459389
2017-01-29,125.0,150.42615981620838
2017-01-30,170.0,166.754200991182
2017-01-31,166.0,157.65251163179266
2017-02-01,176.0,157.4271176618249
2017-02-02,163.0,148.035560431354
2017-02-03,150.0,160.19818387784872
2017-02-04,155.0,150.0000292956268
2017-02-05,165.0,143.36469909481852
2017-02-06,169.0,152.90267837937213
2017-02-07,159.0,155.5170554882814
2017-02-08,153.0,155.3115553761927
2017-02-09,158.0,156.21061109783176
2017-02-10,141.0,159.0233200836576
2017-02-11,179.0,153.02061980490816
2017-02-12,148.0,143.8841889857518
2017-02-13,169.0,152.43114221719753
2017-02-14,155.0,154.81319254583036
2017-02-15,150.0,155.17651142769074
2017-02-16,182.0,160.57461255162633
2017-02-17,191.0,164.07152782505722
2017-02-18,170.0,157.50921330821362
2017-02-19,166.0,150.0423587485741
2017-02-20,149.0,165.78397544680612
2017-02-21,164.0,159.96336046793908
2017-02-22,144.0,160.8349194519307
2017-02-23,122.0,159.49243533804955
2017-02-24,155.0,161.44671978238108
2017-02-25,122.0,153.93308499709119
2017-02-26,126.0,141.7520602558287
2017-02-27,143.0,150.39427683540714
2017-02-28,151.0,151.56859179408968
2017-03-01,141.0,145.3890283472172
2017-03-02,136.0,142.4095366387645
2017-03-03,163.0,151.74035803420344
2017-03-04,138.0,144.76517746429087
2017-03-05,144.0,146.89466740685464
2017-03-06,166.0,153.2115145986224
2017-03-07,156.0,150.87226340837506
2017-03-08,143.0,145.92182819314067
2017-03-09,154.0,150.48600471603226
2017-03-10,157.0,159.55655842012445
2017-03-11,133.0,150.63798151255546
2017-03-12,99.0,150.54937862503812
2017-03-13,123.0,145.85045625265178
2017-03-14,98.0,145.65566850191993
2017-03-15,136.0,139.01635943506238
2017-03-16,149.0,138.00088714740673
2017-03-17,152.0,154.47681142157575
2017-03-18,137.0,141.36697517075794
2017-03-19,101.0,139.0782791657632
2017-03-20,135.0,142.10520663166227
2017-03-21,141.0,138.29214507529898
2017-03-22,144.0,147.23967079549715
2017-03-23,130.0,144.34701855769916
2017-03-24,161.0,153.9307194043473
2017-03-25,152.0,140.9773508119841
2017-03-26,157.0,142.9005889837565
2017-03-27,150.0,146.25332368839537
2017-03-28,151.0,145.70891405294185
2017-03-29,168.0,153.81382445781983
2017-03-30,166.0,150.10857958277467
2017-03-31,180.0,167.59763121671503
2017-04-01,187.0,149.77886657997377
2017-04-02,144.0,155.74499273443863
2017-04-03,158.0,154.24918716061333
2017-04-04,133.0,153.72834610434805
2017-04-05,151.0,156.6408966068026
2017-04-06,165.0,152.62834632785825
2017-04-07,162.0,171.8416743617083
2017-04-08,157.0,152.90882646353487
2017-04-09,155.0,147.39739723836465
2017-04-10,127.0,148.27802871528522
2017-04-11,176.0,148.33493687742575
2017-04-12,173.0,146.17848655986666
2017-04-13,158.0,152.77766220381923
2017-04-14,165.0,164.9122193922317
2017-04-15,164.0,158.2533116356257
2017-04-16,116.0,148.88112505146265
2017-04-17,159.0,154.19080509896506
2017-04-18,156.0,152.93582574874063
2017-04-19,179.0,155.7450394064015
2017-04-20,187.0,154.46298473729726
2017-04-21,192.0,161.40442897175717
2017-04-22,140.0,158.43969117486975
2017-04-23,155.0,150.11831786091855
2017-04-24,158.0,157.40077413313554
2017-04-25,179.0,153.17656312573703
2017-04-27,174.0,164.4482934085507
2017-04-28,176.0,161.63249808340632
2017-04-29,140.0,155.5471486756092
2017-04-30,129.0,150.76297509494495
2017-05-01,181.0,158.82622072648365
2017-05-02,153.0,160.60648964781706
2017-05-03,163.0,156.28693903962198
2017-05-04,187.0,165.5443786585471
2017-05-05,158.0,171.5522297060446
2017-05-06,175.0,155.23111023527602
2017-05-07,141.0,146.91065895380078
2017-05-08,171.0,163.9642513489251
2017-05-09,169.0,159.0062854567967
2017-05-10,159.0,171.23625986096286
2017-05-11,174.0,169.80264365097918
2017-05-12,212.0,169.24213778129166
2017-05-13,157.0,160.83319567598875
2017-05-14,148.0,153.52469385577422
2017-05-15,198.0,170.48348917922374
2017-05-16,172.0,165.34604115295465
2017-05-17,187.0,172.29369191898542
2017-05-18,181.0,177.26441283316936
2017-05-19,192.0,179.21058184957406
2017-05-20,159.0,165.71073990663504
2017-05-21,154.0,155.3636851680677
2017-05-22,183.0,178.63468296834898
2017-05-23,166.0,172.29257955208618
2017-05-24,206.0,171.1418658128199
2017-05-25,172.0,177.50153169893753
2017-05-26,180.0,186.81216648060496
2017-05-27,171.0,171.1371989213673
2017-05-28,131.0,157.32344872915925
2017-05-29,148.0,185.50524778890278
2017-05-30,189.0,165.3763826402532
2017-05-31,158.0,171.56028679742099
2017-06-01,186.0,172.9733818791653
2017-06-02,207.0,173.24585958307435
2017-06-03,189.0,164.65967074160676
2017-06-04,164.0,154.34259328953635
2017-06-05,179.0,175.73609724263127
2017-06-06,196.0,173.46801581731683
2017-06-07,189.0,180.59003006627793
2017-06-08,188.0,181.68279761494415
